filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
10125_P1_RA12_01_49	SAMPLE	21_to_30	Regularly		
10173_P4_RC5_01_447	SAMPLE	11_to_20	Occasionally	Daily	Occasionally
10232_P4_RE4_01_476	SAMPLE	Less_than_5	Occasionally		
10546_P4_RG11_01_515	SAMPLE	Less_than_5	Regularly		
10710_P3_RB12_01_317	SAMPLE	11_to_20	Regularly		
10712_P4_RH3_01_521	SAMPLE	More_than_30	Occasionally		
10715_P4_RA4_01_415	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
10765_P4_RE9_01_482	SAMPLE	More_than_30	Occasionally		
1086_P1_RC8_01_71	SAMPLE	11_to_20	Regularly		
10887_P4_RE5_01_477	SAMPLE				
1089_P4_RF4_01_492	SAMPLE	6_to_10	Rarely		
10953_P2_RF1_01_233	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
11035_P4_RB4_01_431	SAMPLE	More_than_30	Occasionally		
11111_P4_RB1_01_428	SAMPLE	Less_than_5	Regularly		
11163_P4_RB11_01_439	SAMPLE	Less_than_5	Occasionally		
11221_P2_RB8_01_178	SAMPLE	21_to_30	Regularly		
11223_P4_RF12_01_501	SAMPLE	6_to_10	Regularly		
11225_P3_RC12_01_332	SAMPLE	21_to_30	Occasionally		
11290_P2_RC4_01_188	SAMPLE	Less_than_5	Daily		
11337_P4_RE11_01_484	SAMPLE	6_to_10	Daily	Occasionally	Occasionally
11935_P4_RB10_01_438	SAMPLE	21_to_30	Daily		
12136_P4_RD10_01_468	SAMPLE	11_to_20	Rarely		
12229_P4_RC12_01_455	SAMPLE	21_to_30	Regularly		
12230_P4_RF9_01_498	SAMPLE	21_to_30	Regularly		
1225_P4_RE10_01_483	SAMPLE	11_to_20	Never		
12262_P1_RE5_01_94	SAMPLE	Less_than_5	Daily	Never	Daily
1230_P5_RB11_01_564	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
12303_P4_RC9_01_452	SAMPLE	6_to_10	Regularly		
12418_P4_RE7_01_480	SAMPLE	6_to_10	Daily		
1278_P1_RC7_01_70	SAMPLE	11_to_20	Rarely		
1291_P5_RB2_01_553	SAMPLE	Less_than_5	Rarely		
12918_P4_RB2_01_429	SAMPLE	21_to_30	Occasionally		
13009_P4_RD8_01_466	SAMPLE	21_to_30	Regularly	Never	Regularly
1301_P4_RH2_01_520	SAMPLE	6_to_10	Regularly		
13114_P4_RB3_01_430	SAMPLE	21_to_30	Daily		
13130_P4_RC3_01_445	SAMPLE	11_to_20	Daily		
13131_P1_RH11_01_139	SAMPLE	21_to_30	Regularly		
13214_P4_RC8_01_451	SAMPLE	21_to_30	Rarely		
1327_P4_RD2_01_459	SAMPLE	6_to_10	Regularly		
13290_P4_RA9_01_422	SAMPLE	21_to_30	Regularly		
13313_P4_RE2_01_474	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
13413_P5_RB1_01_552	SAMPLE	21_to_30	Regularly		
13527_P5_RA1_01_535	SAMPLE	11_to_20	Occasionally		
13533_P1_GA1_01_142	SAMPLE	6_to_10	Regularly		
13539_P4_RD11_01_469	SAMPLE		Regularly		
13541_P4_RG3_01_506	SAMPLE	Less_than_5	Regularly		
13575_P4_RH5_01_523	SAMPLE	21_to_30	Regularly		
13586_P4_RA8_01_421	SAMPLE	11_to_20	Daily		
13604_P4_RF7_01_496	SAMPLE	11_to_20	Daily		
13618_P3_RG4_01_383	SAMPLE	21_to_30	Occasionally		
1386_P4_RA6_01_417	SAMPLE	6_to_10	Regularly		
13864_P4_RE6_01_478	SAMPLE	21_to_30	Regularly		
13917_P4_RA10_01_423	SAMPLE	More_than_30	Daily	Daily	Never
14142_P2_RB3_01_172	SAMPLE	21_to_30	Regularly	Daily	Daily
14151_P4_RH7_01_525	SAMPLE	11_to_20	Occasionally		
14153_P4_RH8_01_526	SAMPLE	More_than_30	Regularly		
14240_P4_RB9_01_437	SAMPLE	21_to_30	Regularly		
14279_P2_RD3_01_202	SAMPLE	21_to_30	Regularly		
14290_P4_RA11_01_424	SAMPLE	21_to_30	Daily		
14356_P2_RE1_01_216	SAMPLE	11_to_20	Regularly		
14397_P2_RD6_01_205	SAMPLE	6_to_10	Regularly		
14399_P4_RG5_01_508	SAMPLE	6_to_10	Occasionally		
14407_P2_RC2_01_186	SAMPLE		Regularly	Never	Rarely
14563_P1_RE10_01_99	SAMPLE	Less_than_5	Occasionally		
14592_P4_RA12_01_425	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Never
14606_P1_RD5_01_81	SAMPLE		Occasionally		
14648_P2_RE2_01_217	SAMPLE		Occasionally	Occasionally	Rarely
14880_P3_RA3_01_290	SAMPLE	More_than_30	Regularly		
1513_P2_RC10_01_195	SAMPLE	More_than_30	Daily		
15161_P2_RF8_01_241	SAMPLE	21_to_30	Daily		
15254_P2_RC6_01_190	SAMPLE	6_to_10	Occasionally		
15461_P2_RD10_01_211	SAMPLE	11_to_20	Daily		
1551_P4_RF1_01_489	SAMPLE	6_to_10	Regularly		
15542_P4_RB12_01_440	SAMPLE	21_to_30	Occasionally		
15575_P3_RH6_01_400	SAMPLE	6_to_10	Daily		
15581_P2_RD4_01_203	SAMPLE	Less_than_5	Occasionally		
15598_P2_RH6_01_270	SAMPLE	6_to_10	Regularly		
15623_P2_RC3_01_187	SAMPLE	Less_than_5	Regularly		
15826_P2_RF6_01_238	SAMPLE	More_than_30	Rarely	Rarely (less than once/week)	Regularly
15828_P3_RD4_01_338	SAMPLE	21_to_30	Daily		
16313_P2_RE4_01_219	SAMPLE	11_to_20	Occasionally		
16333_P2_RA5_01_159	SAMPLE	21_to_30	Regularly		
16484_P2_RE7_01_223	SAMPLE		Rarely		
16485_P2_RG7_01_257	SAMPLE		Rarely		
16500_P2_RD8_01_209	SAMPLE	Less_than_5	Occasionally	Rarely (less than once/week)	Never
16501_P2_RD9_01_210	SAMPLE	Less_than_5	Occasionally	Rarely (less than once/week)	Never
17080_P2_RG2_01_251	SAMPLE	11_to_20	Daily		
17092_P1_RH12_01_140	SAMPLE		Regularly	Rarely (less than once/week)	Occasionally
17093_P2_RF3_01_235	SAMPLE	11_to_20	Daily		
17118_P2_RB1_01_170	SAMPLE		Regularly	Never	Never
17208_P2_RD2_01_201	SAMPLE	More_than_30	Occasionally		
1748_P4_RD3_01_460	SAMPLE	6_to_10	Daily		
1820_P3_RB5_01_309	SAMPLE	More_than_30	Daily	Occasionally	Regularly
18404_P3_RF6_01_370	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	
18412_P1_RB2_01_52	SAMPLE	21_to_30	Daily	Occasionally	Regularly
2033_P3_RC2_01_321	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
20515_P1_RB1_01_51	SAMPLE		Occasionally	Rarely (less than once/week)	Daily
20538_P3_RE7_01_357	SAMPLE		Rarely	Never	Occasionally
20562_P1_RA9_01_46	SAMPLE		Occasionally	Occasionally	Daily
20681_P2_RB4_01_173	SAMPLE		Occasionally	Rarely (less than once/week)	Never
20706_P2_RG3_01_252	SAMPLE		Rarely	Daily	Daily
20788_P2_RC5_01_189	SAMPLE		Regularly	Daily	Daily
2173_P4_RF10_01_499	SAMPLE	Less_than_5	Never		
21950_P1_RF11_01_113	SAMPLE		Regularly	Occasionally	Daily
22159_P1_RA5_01_42	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22164_P1_RA10_01_47	SAMPLE		Daily	Daily	Daily
22431_P3_RF4_01_368	SAMPLE		Daily		
22510_P3_RG10_01_390	SAMPLE	6_to_10	Regularly	Occasionally	Rarely
22541_P3_RF5_01_369	SAMPLE		Daily	Never	Never
22591_P3_RG7_01_387	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22606_P1_RH8_01_136	SAMPLE		Daily	Occasionally	Rarely
22638_P1_RH10_01_138	SAMPLE		Rarely	Daily	Rarely
22663_P1_RG9_01_124	SAMPLE		Rarely	Occasionally	Never
22676_P3_RB6_01_310	SAMPLE		Daily	Regularly	Never
22951_P1_RB12_01_62	SAMPLE		Regularly	Occasionally	Daily
22959_P2_RA3_01_157	SAMPLE		Daily	Daily	Regularly
22965_P2_RA1_01_155	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
2319_P4_RE1_01_473	SAMPLE	11_to_20	Occasionally	Occasionally	Daily
23203_P1_RA7_01_44	SAMPLE		Daily	Rarely (less than once/week)	Daily
23217_P2_RE11_01_227	SAMPLE	21_to_30	Regularly	Regularly	Occasionally
23230_P2_RB5_01_174	SAMPLE		Daily	Daily	Daily
23231_P1_RA8_01_45	SAMPLE		Regularly	Occasionally	Daily
2326_P3_RA5_01_292	SAMPLE		Regularly	Daily	Never
2331_P1_RD11_01_87	SAMPLE	21_to_30	Regularly		
23840_P1_RC9_01_72	SAMPLE		Regularly	Daily	Daily
23894_P2_RC9_01_194	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
23928_P2_RF12_01_247	SAMPLE		Regularly	Rarely (less than once/week)	Never
23984_P1_RH9_01_137	SAMPLE		Occasionally	Never	Never
2414_P3_RG12_01_392	SAMPLE	6_to_10	Occasionally		
2419_P4_RG2_01_505	SAMPLE	11_to_20	Regularly	Never	
2443_P4_RG12_01_516	SAMPLE	More_than_30	Daily	Occasionally	Never
2465_P4_RH4_01_522	SAMPLE	21_to_30	Daily		
26002_P1_RG8_01_123	SAMPLE		Occasionally	Regularly	Regularly
26041_P1_RG10_01_125	SAMPLE		Regularly	Rarely (less than once/week)	Never
26049_P2_RD12_01_213	SAMPLE	6_to_10	Occasionally	Never	Daily
2607_P5_RC1_01_569	SAMPLE	11_to_20	Regularly		
26076_P1_RH4_01_132	SAMPLE		Occasionally	Rarely (less than once/week)	Never
26083_P3_RA4_01_291	SAMPLE		Regularly	Rarely (less than once/week)	Never
26116_P5_RF1_01_618	SAMPLE		Rarely	Rarely (less than once/week)	
26122_P5_RD2_01_586	SAMPLE		Occasionally	Regularly	Never
26124_P1_RC5_01_68	SAMPLE		Regularly	Regularly	Never
26143_P1_RG5_01_120	SAMPLE		Daily	Never	Never
26193_P1_RG4_01_119	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
2632_P4_RC11_01_454	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
26521_P1_GH1_01_149	SAMPLE		Daily	Rarely (less than once/week)	Daily
26661_P3_RG6_01_385	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
2712_P4_RG7_01_511	SAMPLE	6_to_10	Occasionally		
27278_P5_RE11_01_614	SAMPLE	21_to_30	Daily	Regularly	Occasionally
27373_P2_RD5_01_204	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
2752_P3_RA12_01_299	SAMPLE	11_to_20	Rarely		
27623_P2_RH3_01_267	SAMPLE		Daily	Rarely (less than once/week)	Never
27643_P2_RF2_01_234	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
27659_P1_RF9_01_111	SAMPLE		Regularly	Occasionally	Rarely
27670_P2_RF4_01_236	SAMPLE		Regularly	Daily	Daily
2783_P4_RF11_01_500	SAMPLE	Less_than_5	Regularly		
27840_P1_RG3_01_118	SAMPLE	6_to_10	Occasionally	Occasionally	Rarely
27899_P3_RG1_01_380	SAMPLE		Daily	Daily	Rarely
28089_P3_RD2_01_336	SAMPLE		Regularly	Occasionally	Rarely
28118_P2_RB2_01_171	SAMPLE		Rarely	Occasionally	Rarely
28169_P2_RH1_01_265	SAMPLE		Regularly	Daily	Daily
28187_P3_RC6_01_325	SAMPLE		Occasionally	Never	Never
28208_P1_RB4_01_54	SAMPLE		Regularly	Regularly	Never
28278_P3_RE6_01_355	SAMPLE		Regularly	Never	Occasionally
28463_P3_RB1_01_305	SAMPLE		Occasionally	Daily	Occasionally
28534_P6_RC3_01_682	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
2865_P5_RG1_01_634	SAMPLE	6_to_10	Regularly		
28663_P2_RH2_01_266	SAMPLE		Regularly	Never	Never
2869_P4_RG9_01_513	SAMPLE	Less_than_5	Daily		
28719_P3_RC3_01_322	SAMPLE		Rarely	Rarely (less than once/week)	Rarely
28742_P6_RH3_01_700	SAMPLE	6_to_10	Regularly	Never	Never
28744_P3_RE3_01_352	SAMPLE		Daily	Occasionally	Occasionally
28841_P3_RH5_01_399	SAMPLE		Daily	Daily	Daily
29161_P3_RD5_01_339	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
29164_P3_RD6_01_340	SAMPLE		Rarely	Rarely (less than once/week)	Occasionally
29298_P3_RA6_01_293	SAMPLE				Never
29312_P2_RH4_01_268	SAMPLE		Daily	Occasionally	Never
29313_P3_RH3_01_397	SAMPLE		Regularly		Occasionally
